name,release_date,steamspy_tags,median_playtime,price
Counter-Strike,2000-11-01,Action;FPS;Multiplayer,317,7.19
Team Fortress Classic,1999-04-01,Action;FPS;Multiplayer,62,3.99
Day of Defeat,2003-05-01,FPS;World War II;Multiplayer,34,3.99
Deathmatch Classic,2001-06-01,Action;FPS;Multiplayer,184,3.99
Half-Life: Opposing Force,1999-11-01,FPS;Action;Sci-fi,415,3.99
Ricochet,2000-11-01,Action;FPS;Multiplayer,10,3.99
Half-Life,1998-11-08,FPS;Classic;Action,83,7.19
Counter-Strike: Condition Zero,2004-03-01,Action;FPS;Multiplayer,43,7.19
Half-Life: Blue Shift,2001-06-01,FPS;Action;Sci-fi,205,3.99
Half-Life 2,2004-11-16,FPS;Action;Sci-fi,402,7.19
Counter-Strike: Source,2004-11-01,Action;FPS;Multiplayer,400,7.19
Half-Life: Source,2004-06-01,FPS;Action;Sci-fi,214,0.0
Day of Defeat: Source,2010-07-12,FPS;World War II;Multiplayer,134,7.19
Half-Life 2: Deathmatch,2004-11-01,Action;FPS;Multiplayer,32,3.99
Half-Life 2: Lost Coast,2005-10-27,FPS;Action;Singleplayer,29,0.0
Half-Life Deathmatch: Source,2006-05-01,Action;FPS;Multiplayer,81,0.0
Half-Life 2: Episode One,2006-06-01,FPS;Action;Sci-fi,184,5.79
Portal,2007-10-10,Puzzle;First-Person;Singleplayer,137,7.19
Half-Life 2: Episode Two,2007-10-10,FPS;Action;Sci-fi,301,5.79
Team Fortress 2,2007-10-10,Free to Play;Multiplayer;FPS,623,0.0
Left 4 Dead,2008-11-17,Zombies;Co-op;FPS,278,7.19
Left 4 Dead 2,2009-11-19,Zombies;Co-op;FPS,566,7.19
Dota 2,2013-07-09,Free to Play;MOBA;Strategy,801,0.0
Portal 2,2011-04-18,Puzzle;Co-op;First-Person,520,7.19
Alien Swarm,2010-07-19,Free to Play;Co-op;Action,83,0.0
Counter-Strike: Global Offensive,2012-08-21,FPS;Multiplayer;Shooter,6502,0.0
Rag Doll Kung Fu,2005-10-12,Indie;Fighting;Multiplayer,0,5.99
Red Orchestra: Ostfront 41-45,2006-03-14,World War II;Action;FPS,258,3.99
Killing Floor,2009-05-14,FPS;Zombies;Co-op,306,14.99
SiN Episodes: Emergence,2006-05-10,Action;FPS;Cyberpunk,0,7.19
Darwinia,2005-07-14,Strategy;Indie;RTS,273,7.19
Uplink,2006-08-23,Hacking;Indie;Strategy,77,6.99
DEFCON,2006-09-29,Strategy;Indie;Multiplayer,119,7.19
Multiwinia,2008-09-19,Indie;RTS;Strategy,224,7.19
Dangerous Waters,2006-02-07,Strategy;Simulation;Naval,0,22.99
Space Empires IV Deluxe,2006-02-07,Strategy;4X;Sci-fi,0,6.99
Disciples II: Rise of the Elves,2006-07-06,Strategy;Turn-Based Strategy;Fantasy,0,4.99
Disciples II: Gallean's Return,2006-07-06,Turn-Based Strategy;Strategy;Classic,12,4.99
Iron Warriors: T - 72 Tank Command,2006-07-26,Simulation;Strategy;Tanks,0,3.99
Space Empires V,2006-10-16,Strategy;4X;Space,35,10.99
Arx Fatalis,2007-04-03,RPG;First-Person;Classic,21,2.99
Source Filmmaker,2012-07-10,Animation & Modeling;Video Production;Free to Play,77,0.0
Earth 2160,2006-04-01,Strategy;RTS;Sci-fi,414,3.99
Two Worlds Epic Edition,2009-04-30,RPG;Open World;Fantasy,422,6.99
Dark Messiah of Might & Magic,2006-10-25,RPG;Action;First-Person,700,4.29
Quake III Arena,2007-08-03,FPS;Action;Classic,103,12.99
Quake IV,2011-08-04,FPS;Action;Shooter,32,12.99
Wolfenstein 3D,2007-08-03,FPS;Classic;Action,110,2.99
Ultimate Doom,2007-08-03,Classic;FPS;Action,179,3.99
Final DOOM,2007-08-03,FPS;Action;Classic,114,3.99
DOOM II,2007-08-03,Classic;FPS;Action,78,3.99
QUAKE,2007-08-03,FPS;Classic;Action,189,3.99
QUAKE II,2007-08-03,FPS;Action;Classic,349,3.99
QUAKE II Mission Pack: The Reckoning,2007-08-03,Action;FPS;Classic,32,2.49
QUAKE II Mission Pack: Ground Zero,2007-08-03,Action;FPS;Shooter,1,2.49
QUAKE III: Team Arena,2007-08-03,Action;FPS;Competitive,0,12.99
HeXen: Beyond Heretic,2007-08-03,Action;FPS;Classic,50,2.99
HeXen: Deathkings of the Dark Citadel,2007-08-03,Action;FPS;Classic,0,2.99
Heretic: Shadow of the Serpent Riders,2007-08-03,Classic;Action;FPS,0,2.99
The Ship: Murder Party,2006-07-11,Multiplayer;Indie;Action,239,0.0
Bloody Good Time,2010-10-29,Action;Multiplayer;FPS,193,4.29
Shadowgrounds,2006-05-08,Action;Sci-fi;Top-Down Shooter,258,3.99
Gumboy - Crazy Adventures™,2006-12-19,Casual;Indie;Singleplayer,0,0.0
Alpha Prime,2007-11-07,Action;FPS;Sci-fi,0,2.99
Vampire: The Masquerade - Bloodlines,2007-03-22,RPG;Vampire;Cult Classic,202,14.99
GUN™,2006-10-13,Western;Action;Open World,889,9.99
Call of Duty®,2006-10-13,FPS;World War II;Action,849,14.99
Call of Duty® 2,2006-10-13,Action;World War II;FPS,1041,14.99
Call of Duty: United Offensive,2006-10-13,Action;World War II;FPS,0,14.99
Act of War: Direct Action,2008-03-12,Action;Strategy;RTS,0,1.99
ThreadSpace: Hyperbol,2007-07-12,Strategy;Action;Indie,0,3.99
ARMA: Combat Operations,2008-03-12,Action;Simulation;Shooter,0,5.99
X2: The Threat,2006-07-21,Space;Strategy;Simulation,732,4.99
X3: Reunion,2006-07-21,Space;Simulation;Strategy,1232,9.99
X3: Terran Conflict,2008-10-16,Space;Simulation;Sci-fi,1273,15.99
X: Beyond the Frontier,2010-10-08,Simulation;Space;Strategy,648,3.49
X: Tension,2010-10-08,Simulation;Strategy;Space,13,3.49
X Rebirth,2013-11-15,Space;Simulation;Sci-fi,3386,24.99
688(I) Hunter/Killer,2006-10-26,Strategy;Simulation;Naval,0,22.99
Fleet Command,2006-10-26,Strategy;Simulation;Naval,0,22.99
Sub Command,2006-10-26,Strategy;Simulation;Naval,0,22.99
FlatOut 2™,2006-12-21,Racing;Destruction;Multiplayer,351,5.99
Xpand Rally,2006-08-24,Racing;Multiplayer,939,3.99
Call of Juarez™,2007-11-08,Western;Action;FPS,60,8.59
Xpand Rally Xtreme,2008-10-08,Racing;Offroad;Simulation,0,3.99
Men of War: Red Tide,2009-11-01,Strategy;World War II;RTS,0,3.99
King's Bounty: Armored Princess,2009-11-19,RPG;Turn-Based Strategy;Strategy,1429,7.99
Genesis Rising,2007-08-06,Strategy;Space;Sci-fi,0,4.49
Safecracker: The Ultimate Puzzle Adventure,2007-08-29,Puzzle;Adventure;Casual,1,4.49
Painkiller Overdose,2007-10-30,Action;FPS;Shooter,270,4.49
Zuma Deluxe,2006-08-30,Casual;Match 3;Puzzle,267,4.25
Heavy Weapon Deluxe,2006-08-30,Casual;Arcade;Action,0,4.25
